row,veto_data
23,"['1. SpaceStation banned Samoa', '2. Ex Oblivione banned Ilios', '3. Lijiang Tower picked by SpaceStation', '4. Ex Oblivione banned Nepal', '5. Ex Oblivione banned Hollywood', ""6. SpaceStation banned King's Row"", '7. Blizzard World picked by Ex Oblivione', '8. SpaceStation banned Midtown', '9. Ex Oblivione banned Colosseo', '10. Esperança picked by SpaceStation', '11. Ex Oblivione banned New Queen Street', '12. Suravasa picked by Ex Oblivione', '13. SpaceStation banned New Junk City', '14. SpaceStation banned Rialto', '15. Ex Oblivione banned Circuit Royal', '16. Shambali Monastery picked by SpaceStation', '17. Ex Oblivione banned Dorado']"
160,"['1. Ex Oblivione banned Nepal', '2. Team Peps banned Samoa', '3. Lijiang Tower picked by Ex Oblivione', '4. Team Peps banned Ilios', '5. Team Peps banned Blizzard World', ""6. Ex Oblivione banned King's Row"", '7. Midtown picked by Team Peps', '8. Ex Oblivione banned Hollywood', '9. Team Peps banned New Queen Street', '10. Esperança picked by Ex Oblivione', '11. Team Peps banned Colosseo', '12. New Junk City picked by Team Peps', '13. Ex Oblivione banned Suravasa', '14. Ex Oblivione banned Circuit Royal', '15. Team Peps banned Dorado', '16. Rialto picked by Ex Oblivione', '17. Team Peps banned Shambali Monastery']"
282,"['1. Twisted Minds banned Ilios', '2. Ex Oblivione banned Lijiang Tower', '3. Samoa picked by Twisted Minds', '4. Ex Oblivione banned Nepal', ""5. Ex Oblivione banned King's Row"", '6. Twisted Minds banned Hollywood', '7. Blizzard World picked by Ex Oblivione', '8. Twisted Minds banned Midtown', '9. Ex Oblivione banned Colosseo', '10. Esperança picked by Twisted Minds', '11. Ex Oblivione banned New Queen Street', '12. Suravasa picked by Ex Oblivione', '13. Twisted Minds banned New Junk City', '14. Twisted Minds banned Dorado', '15. Ex Oblivione banned Circuit Royal', '16. Shambali Monastery picked by Twisted Minds', '17. Ex Oblivione banned Rialto']"
412,"['1. ROC ESPORT banned Samoa', '2. Ex Oblivione banned Ilios', '3. Lijiang Tower picked by ROC ESPORT', '4. Ex Oblivione banned Nepal', '5. Ex Oblivione banned Hollywood', '6. ROC ESPORT banned Midtown', '7. Blizzard World picked by Ex Oblivione', ""8. ROC ESPORT banned King's Row"", '9. Ex Oblivione banned Colosseo', '10. Esperança picked by ROC ESPORT', '11. Ex Oblivione banned New Queen Street', '12. Suravasa picked by Ex Oblivione', '13. ROC ESPORT banned New Junk City', '14. ROC ESPORT banned Shambali Monastery', '15. Ex Oblivione banned Circuit Royal', '16. Rialto picked by ROC ESPORT', '17. Ex Oblivione banned Dorado']"
539,"['1. Ex Oblivione banned Ilios', '2. Celtas banned Samoa', '3. Lijiang Tower picked by Ex Oblivione', '4. Celtas banned Nepal', '5. Celtas banned Blizzard World', ""6. Ex Oblivione banned King's Row"", '7. Midtown picked by Celtas', '8. Ex Oblivione banned Hollywood', '9. Celtas banned New Queen Street', '10. Esperança picked by Ex Oblivione', '11. Celtas banned Colosseo', '12. Suravasa picked by Celtas', '13. Ex Oblivione banned New Junk City', '14. Ex Oblivione banned Circuit Royal', '15. Celtas banned Rialto', '16. Dorado picked by Ex Oblivione', '17. Celtas banned Shambali Monastery']"
652,"['1. SpaceStation banned Nepal', '2. Ex Oblivione banned Ilios', '3. Lijiang Tower picked by SpaceStation', '4. Ex Oblivione banned Samoa', '5. Ex Oblivione banned Hollywood', '6. SpaceStation banned Midtown', '7. Blizzard World picked by Ex Oblivione', ""8. SpaceStation banned King's Row"", '9. Ex Oblivione banned Colosseo', '10. Esperança picked by SpaceStation', '11. Ex Oblivione banned New Queen Street', '12. Suravasa picked by Ex Oblivione', '13. SpaceStation banned New Junk City', '14. SpaceStation banned Circuit Royal', '15. Ex Oblivione banned Shambali Monastery', '16. Rialto picked by SpaceStation', '17. Ex Oblivione banned Dorado']"
784,"['1. Ex Oblivione banned Ilios', '2. A One Man Army banned Samoa', '3. Lijiang Tower picked by Ex Oblivione', '4. A One Man Army banned Nepal', '5. A One Man Army banned Hollywood', ""6. Ex Oblivione banned King's Row"", '7. Midtown picked by A One Man Army', '8. Ex Oblivione banned Blizzard World', '9. A One Man Army banned Colosseo', '10. Esperança picked by Ex Oblivione', '11. A One Man Army banned New Queen Street', '12. Suravasa picked by A One Man Army', '13. Ex Oblivione banned New Junk City', '14. Ex Oblivione banned Circuit Royal', '15. A One Man Army banned Rialto', '16. Dorado picked by Ex Oblivione', '17. A One Man Army banned Shambali Monastery']"
933,"['1. SpaceStation banned Samoa', '2. Ex Oblivione banned Ilios', '3. Lijiang Tower picked by SpaceStation', '4. Ex Oblivione banned Nepal', '5. Ex Oblivione banned Hollywood', '6. SpaceStation banned Midtown', ""7. King's Row picked by Ex Oblivione"", '8. SpaceStation banned Blizzard World', '9. SpaceStation banned Circuit Royal', '10. Ex Oblivione banned Shambali Monastery', '11. Dorado picked by SpaceStation', '12. Ex Oblivione banned Rialto']"
1056,"['1. Ex Oblivione banned Ilios', '2. Gass T3 No Job banned Nepal', '3. Lijiang Tower picked by Ex Oblivione', '4. Gass T3 No Job banned Samoa', '5. Gass T3 No Job banned Midtown', '6. Ex Oblivione banned Hollywood', '7. Blizzard World picked by Gass T3 No Job', ""8. Ex Oblivione banned King's Row"", '9. Ex Oblivione banned Dorado', '10. Gass T3 No Job banned Circuit Royal', '11. Rialto picked by Ex Oblivione', '12. Gass T3 No Job banned Shambali Monastery']"
1187,"['1. OwlSprayCheck banned Nepal', '2. Ex Oblivione banned Samoa', '3. Lijiang Tower picked by OwlSprayCheck', '4. Ex Oblivione banned Ilios', ""5. Ex Oblivione banned King's Row"", '6. OwlSprayCheck banned Hollywood', '7. Blizzard World picked by Ex Oblivione', '8. OwlSprayCheck banned Midtown', '9. OwlSprayCheck banned Rialto', '10. Ex Oblivione banned Circuit Royal', '11. Shambali Monastery picked by OwlSprayCheck', '12. Ex Oblivione banned Dorado']"
